# N result estimated_error actual_error
100 3.12 0.165699 0.0215927
200 3.2 0.113137 0.0584073
400 3.2 0.08 0.0584073
800 3.105 0.0589383 0.0365927
1600 3.2 0.04 0.0584073
3200 3.12875 0.0291865 0.0128427
6400 3.14188 0.0205248 0.000282346
12800 3.13844 0.0145343 0.00315515
25600 3.13313 0.0103002 0.00846765
51200 3.13023 0.00729213 0.0113583
102400 3.14965 0.00511423 0.00805578
204800 3.1392 0.00363242 0.00239343
409600 3.14293 0.00256446 0.00133703
819200 3.14259 0.00181361 0.000995237
1638400 3.14172 0.00128289 0.000126096
3276800 3.14069 0.000907534 0.000905398
6553600 3.1413 0.000641559 0.000297488
