# lcg_actual_error quasi_actual_error quasi_estimated error
100 0.00311235 0.0123704 0.000691553
200 0.0558196 0.00670607 0.00121487
400 0.0152184 0.00321597 0.000795939
800 0.00621685 0.00229567 0.000139187
1600 0.00698892 0.000943398 0.000164386
3200 0.00972216 0.000377958 3.57145e-06
6400 0.000432644 0.000242615 7.73152e-05
12800 0.000591154 0.000111539 8.27499e-05
25600 0.000696466 5.0951e-05 2.70328e-05
51200 0.000120703 3.34918e-05 1.78966e-05
102400 0.000605626 1.74726e-05 4.20486e-06
204800 0.000452766 9.97513e-06 3.50385e-06
409600 5.84272e-05 3.35482e-06 2.52917e-06
819200 0.000374905 2.08774e-06 1.73181e-06
