# r numerical_f exact_f
0.001 0.000999 0.000999
0.00105397 0.00105286 0.00105286
0.00110527 0.00110404 0.00110405
0.00115493 0.0011536 0.0011536
0.00120361 0.00120216 0.00120216
0.00125166 0.00125009 0.00125009
0.00129932 0.00129763 0.00129763
0.00134674 0.00134492 0.00134493
0.001394 0.00139206 0.00139206
0.00144116 0.00143908 0.00143908
0.00148825 0.00148604 0.00148604
0.0015353 0.00153294 0.00153295
0.00158232 0.00157982 0.00157982
0.00162932 0.00162667 0.00162667
0.0016763 0.00167349 0.0016735
0.00172328 0.00172031 0.00172031
0.00177024 0.00176711 0.00176711
0.0018172 0.0018139 0.0018139
0.00186415 0.00186067 0.00186067
0.00191109 0.00190744 0.00190744
0.00195803 0.0019542 0.0019542
0.00200497 0.00200095 0.00200095
0.0020519 0.00204769 0.00204769
0.00209883 0.00209442 0.00209443
0.00214575 0.00214115 0.00214115
0.00219267 0.00218787 0.00218787
0.00223959 0.00223458 0.00223458
0.00228651 0.00228128 0.00228128
0.00233342 0.00232798 0.00232798
0.00238033 0.00237467 0.00237467
0.00242723 0.00242135 0.00242135
0.00247414 0.00246802 0.00246803
0.00252104 0.00251469 0.00251469
0.00256794 0.00256135 0.00256136
0.00261484 0.00260801 0.00260801
0.00266174 0.00265466 0.00265466
0.00270863 0.0027013 0.00270131
0.00275553 0.00274794 0.00274794
0.00280242 0.00279457 0.00279457
0.00284931 0.0028412 0.0028412
0.0028962 0.00288782 0.00288782
0.00294308 0.00293443 0.00293443
0.00298997 0.00298104 0.00298104
0.00303685 0.00302764 0.00302764
0.00308373 0.00307424 0.00307424
0.00313062 0.00312083 0.00312083
0.0031775 0.00316741 0.00316742
0.00322438 0.00321399 0.003214
0.00327125 0.00326057 0.00326057
0.00331813 0.00330714 0.00330714
0.00336501 0.0033537 0.0033537
0.00341188 0.00340026 0.00340026
0.00345876 0.00344681 0.00344682
0.00350563 0.00349336 0.00349336
0.00355251 0.0035399 0.00353991
0.00359938 0.00358644 0.00358645
0.00364625 0.00363297 0.00363298
0.00369312 0.0036795 0.00367951
0.00373999 0.00372602 0.00372603
0.00378686 0.00377254 0.00377255
0.00383373 0.00381905 0.00381906
0.0038806 0.00386556 0.00386557
0.00392747 0.00391207 0.00391207
0.00397433 0.00395856 0.00395857
0.0040212 0.00400506 0.00400506
0.00406807 0.00405155 0.00405155
0.00411493 0.00409803 0.00409803
0.0041618 0.00414451 0.00414451
0.00420866 0.00419098 0.00419099
0.00425553 0.00423745 0.00423746
0.00430239 0.00428392 0.00428392
0.00434926 0.00433038 0.00433038
0.00439612 0.00437683 0.00437684
0.00444298 0.00442328 0.00442329
0.00448985 0.00446973 0.00446973
0.00453671 0.00451617 0.00451618
0.00458357 0.00456261 0.00456261
0.00463044 0.00460904 0.00460904
0.0046773 0.00465547 0.00465547
0.00472416 0.00470189 0.0047019
0.00477102 0.00474831 0.00474831
0.00481788 0.00479472 0.00479473
0.00486475 0.00484113 0.00484114
0.00491161 0.00488754 0.00488754
0.00495847 0.00493394 0.00493394
0.00500533 0.00498033 0.00498034
0.00505219 0.00502673 0.00502673
0.00509905 0.00507311 0.00507312
0.00514592 0.0051195 0.0051195
0.00519278 0.00516588 0.00516588
0.00523964 0.00521225 0.00521226
0.0052865 0.00525862 0.00525863
0.00533336 0.00530498 0.00530499
0.00538022 0.00535135 0.00535135
0.00542708 0.0053977 0.00539771
0.00547394 0.00544405 0.00544406
0.00552081 0.0054904 0.00549041
0.00556767 0.00553675 0.00553675
0.00561453 0.00558309 0.00558309
0.00566139 0.00562942 0.00562943
0.00570825 0.00567575 0.00567576
0.00575511 0.00572208 0.00572209
0.00580197 0.0057684 0.00576841
0.00584884 0.00581472 0.00581473
0.0058957 0.00586103 0.00586104
0.00594256 0.00590734 0.00590735
0.00598942 0.00595365 0.00595365
0.00603628 0.00599995 0.00599996
0.00608315 0.00604624 0.00604625
0.00613001 0.00609254 0.00609255
0.00617687 0.00613883 0.00613883
0.00622373 0.00618511 0.00618512
0.0062706 0.00623139 0.0062314
